date,value
2023-07-14,4.5335916868397886e-10
2023-07-17,4.648239436619718e-10
2023-07-18,4.482394366197183e-10
2023-07-19,4.627675918794014e-10
2023-07-20,4.70570429412412e-10
2023-07-21,4.709718172315141e-10
2023-07-24,4.714859223701585e-10
2023-07-25,4.6514084507042254e-10
2023-07-26,4.749225283340669e-10
2023-07-27,4.828239505391726e-10
2023-07-28,4.976971693441902e-10
2023-07-31,5.082394366197183e-10
2023-08-01,4.909931506849315e-10
2023-08-02,4.971575342465753e-10
2023-08-03,4.946232876712329e-10
2023-08-04,5.068904176476884e-10
2023-08-07,5.116506916202911e-10
2023-08-08,5.076849448844178e-10
2023-08-09,5.205959037885274e-10
2023-08-10,5.096917808219178e-10
2023-08-11,5.283835549550513e-10
2023-08-14,5.299588974208048e-10
2023-08-15,5.267671099101027e-10
2023-08-16,5.248150551155822e-10
2023-08-17,5.318150684931507e-10
2023-08-18,5.146095756635274e-10
2023-08-21,5.34020561322774e-10
2023-08-22,5.322808085402398e-10
2023-08-23,5.206986435145548e-10
2023-08-24,5.131438289276541e-10
2023-08-25,5.285411092679795e-10
2023-08-28,5.43952068172089e-10
2023-08-29,5.415821984696061e-10
2023-08-31,5.42321911119435e-10
2023-09-01,5.40677858903104e-10
2023-09-04,5.46395960046141e-10
2023-09-05,5.52758363045302e-10
2023-09-06,5.49107395658557e-10
2023-09-07,5.595771943162752e-10
2023-09-08,5.587449533347315e-10
2023-09-11,5.46744966442953e-10
2023-09-12,5.476442887479027e-10
2023-09-13,5.378456310297819e-10
2023-09-14,5.44885892932047e-10
2023-09-15,5.343624161073826e-10
2023-09-18,5.154630806942114e-10
2023-09-19,5.224161073825503e-10
2023-09-20,5.181073694421141e-10
2023-09-21,5.369463087248322e-10
2023-09-22,5.395436372692953e-10
2023-09-25,5.573691144085571e-10
2023-09-26,5.531744835360738e-10
2023-09-27,5.512617318582215e-10
2023-09-28,5.515906171350671e-10
2023-09-29,5.593892879614094e-10
2023-10-02,5.583552631578948e-10
2023-10-03,5.600986842105263e-10
2023-10-04,5.482302374588816e-10
2023-10-05,5.584210526315789e-10
2023-10-06,5.569013414884869e-10
2023-10-09,5.390394993832237e-10
2023-10-10,5.55447355571546e-10
2023-10-11,5.480657637746711e-10
2023-10-12,5.433749871504934e-10
2023-10-13,5.337697239925987e-10
2023-10-16,5.220131643194902e-10
2023-10-17,5.338815789473684e-10
2023-10-18,5.159671181126645e-10
2023-10-19,5.111184210526316e-10
2023-10-20,4.941250128495065e-10
2023-10-23,5.09894730417352e-10
2023-10-24,5.256842041015625e-10
2023-10-25,4.884868421052632e-10
2023-10-26,5.040855327405427e-10
2023-10-27,5.069999935752467e-10
2023-10-30,5.074276251541941e-10
2023-10-31,4.943486906352796e-10
2023-11-01,4.826025703625801e-10
2023-11-02,4.912564165164262e-10
2023-11-03,4.93974358974359e-10
2023-11-06,5.043589743589744e-10
2023-11-07,5.028717823517628e-10
2023-11-08,5.039038398938302e-10
2023-11-09,5.026602564102564e-10
2023-11-10,4.981602438902243e-10
2023-11-13,4.851474233774039e-10
2023-11-14,4.917371857471955e-10
2023-11-15,4.914038398938302e-10
